headline,network,date,overall_duration,title,program_id,timestamps,start_time,end_time,duration,description,reporters
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Preview/Introduction	Hallie Jackson (New York),1126875,05:30:10 pm — 05:31:00 pm,17:30:10,17:31:00,50,,[]
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Idaho / Stabbing Spree,1126876,05:31:00 pm — 05:32:50 pm,17:31:00,17:32:50,110,"(Studio: Hallie Jackson)  Report introduced.  

(No location given: Steve Patterson)  The mass stabbing spree by Timmy Kinner at a little girl's birthday party in Boise, Idaho, targeting refugee children featured; scenes shown from a Boise apartment complex for resettled refugees.  [Boise police Chief Bill BONES, two BOYS, police OFFICIAL&nbsp- comment.]   ","['Hallie Jackson', 'Steve Patterson']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,"Weather: Heat Wave, Flooding",1126877,05:32:50 pm — 05:36:00 pm,17:32:50,17:36:00,190,"(Studio: Hallie Jackson)  Report introduced.  

(Central Park, New York City: Blake McCoy)  The heat wave & flooding featured; scenes shown from New York City, a Chicago baseball game, an auto race, flooding in Des Moines.  [New York RUNNER, Des Moines DRIVER&nbsp- comment.]  

(Studio: Hallie Jackson)  Report introduced.  

(Studio: Dave Price)  The weather forecast with a heat wave in the East & West reported; weather maps shown.   ","['Hallie Jackson', 'Blake McCoy', 'Hallie Jackson', 'Dave Price']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,California / Wildfire,1126878,05:36:00 pm — 05:36:10 pm,17:36:00,17:36:10,10,(Studio: Hallie Jackson)  A huge wildfire in California shown. ,['Hallie Jackson']
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Bahamas / Tour Boat Explosion,1126879,05:36:10 pm — 05:37:40 pm,17:36:10,17:37:40,90,"(Studio: Hallie Jackson)  Report introduced.  

(No location given: Maya Rodriguez)  The explosion of a small tour boat in the Bahamas featured; scenes shown of black smoke.  [Shot video, MAN&nbsp- describes what happened.] ","['Hallie Jackson', 'Maya Rodriguez']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Supreme Court / Trump Pick,1126880,05:37:40 pm — 05:39:40 pm,17:37:40,17:39:40,120,"(Studio: Hallie Jackson)  Report introduced.  

(Berkeley Heights, New Jersey: Kelly O'Donnell)  The looming decision for President Trump in selecting a new Supreme Court justice to replace Anthony Kennedy featured.  [On Fox, TRUMP&nbsp- says we will have a lot of support.]  [On CNN, Senator Susan COLLINS- defends Roe v. Wade.]  [Senator Lindsey GRAHAM&nbsp- comments on Roe.]  [On ABC, Senator Amy KLOBUCHAR- calls for the vote after the elections.]  [June 2o17, TRUMP&nbsp- says we will pick one for 40 years.] ","['Hallie Jackson', ""Kelly O'Donnell""]"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Mexico / Presidential Election ,1126881,05:39:40 pm — 05:41:50 pm,17:39:40,17:41:50,130,"(Studio: Hallie Jackson)  Report introduced.  

(Mexico City: Kerry Sanders)  The presidential election in Mexico featured; details given about favorite Andrew Lopez Obrador, the pressure on Mexico from President Trump's immigration policy, the crisis of violence in Mexico with murder statistics cited.  [Political analyst Carlos BRAVO REGIDOR- calls Lopez Obrador an ""outsider from within.""]  [Juan CARLOS&nbsp- says no candidate is interested in the security issue.] ","['Hallie Jackson', 'Kerry Sanders']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Protecting Our Planet (Plastic Pollution),1126882,05:41:50 pm — 05:44:20 pm,17:41:50,17:44:20,150,"(Studio: Hallie Jackson)  Report introduced.  

(Santa Cruz, California: Joe Fryer)  The environmental issue of plastic straws examined; scenes shown from Santa Cruz, California & from the social media campaign against straws; details given about the straw ban in many cities.  [The Last Plastic Straw creator Jackie NUNEZ- calls herself the ""straw lady""; explains her focus on straws.]  [Oceanographer Algalita Research Foundation  Capt. Charles MOORE&nbsp- says we have to deal with being plasticized.]  [Santa Cruz grill owner Steve ALB- backs paper straws.] ","['Hallie Jackson', 'Joe Fryer']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Upcoming Items & COMMERCIALS: ancestry.com; Alka-Seltzer; Brilinta; trivago.,1126883,05:44:20 pm — 05:47:10 pm,17:44:20,17:47:10,170,,[]
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,One Nation Overdosed (France: Buphenorphine),1126884,05:47:10 pm — 05:50:20 pm,17:47:10,17:50:20,190,"(Studio: Hallie Jackson)  Report introduced.  

(Paris: Kelly Cobiella)  France's way of dealing with opioid  overdosing examined; details given about addiction treatment using buphenorphine; statistics cited.  [Addict Nicholas D'ANGELO&nbsp- {thru reporter's translation} says it was difficult.]  [Dr. Xavier AKNINE, Dr. Glorence BORSPAN- explain this effective treatment: that it could work in the US.]  

(Studio: Hallie Jackson, John Torres)  Why buphenorphine is not used in the US, its symptoms, but how it works to save lives discussed. ","['Hallie Jackson', 'Kelly Cobiella', 'that it could work in the US.]  \n\n(Studio']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,"Upcoming Items & COMMERCIALS: Oscar Mayer; Aleve; Ibrance; ""Today""; ""Dateline""; DriveTime; News 4/Electronic Express.",1126885,05:50:20 pm — 05:53:30 pm,17:50:20,17:53:30,190,,[]
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,France / The Great Escape,1126886,05:53:30 pm — 05:54:40 pm,17:53:30,17:54:40,70,"(Studio: Hallie Jackson)  Report introduced.  

(No location given: Lucy Kafanov)  The daring escape from a French prison of convicted murderer Redoine Faid using a hijacked helicopter reviewed; scenes shown; details given about his previous escape.  ","['Hallie Jackson', 'Lucy Kafanov']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,"Upcoming Items & COMMERCIALS: Poligrip; Centrum; Pepto-Bismol; Capital One; TreatMBC.com; ""Today""; ""NBC Nightly News""",1126887,05:54:40 pm — 05:57:30 pm,17:54:40,17:57:30,170,,[]
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Monster Trucks / Grave Digger/ Anderson Family,1126888,05:57:30 pm — 05:59:50 pm,17:57:30,17:59:50,140,"(Studio: Hallie Jackson)  Report introduced.  

(Foxborough, Massachusetts: Kevin Tibbles)  The Grave Digger monster truck featured; scenes shown of the truck in action.  [Grave Digger's Kevin ANDERSON&nbsp- recounts his start as the Grave Digger.]  [Monster jam FAN&nbsp- comments.]  [Family drivers Adam, Ryan, Kristin ANDERSON&nbsp- talk about driving.]  [Car painter Jim McSHANE&nbsp- comments.] ","['Hallie Jackson', 'Kevin Tibbles']"
NBC Evening News for 2018-07-01,NBC,2018-07-01,30 minutes long,Good Night,1126889,05:59:50 pm — 05:59:50 pm,17:59:50,17:59:50,0,,[]
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Preview/Introduction	Tom Llamas (New York),1126890,05:30:00 pm — 05:31:20 pm,17:30:00,17:31:20,80,,[]
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Thailand / Cave Rescue Operation,1126891,05:31:20 pm — 05:35:10 pm,17:31:20,17:35:10,230,"(Studio: Tom Llamas)  Report introduced.  

(Chiang Rai, Thailand: James Longman)  The miracle rescue in Thailand of a youth soccer team after 10 days trapped in a cave by flash flooding featured; scenes shown from the darkness, the overjoyed parents outside.   [US Air Force Capt. Jessica TATE, diver REYMENANTS- talk about getting them out safely.]  How they survived for 10 days discussed. ","['Tom Llamas', 'James Longman']"
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Trump / Cohen Interview,1126892,05:35:10 pm — 05:39:50 pm,17:35:10,17:39:50,280,"(Studio: Tom Llamas)  Report introduced.  

(Stadia: George Stephanopoulos)  The ABC News interview with President Trump's ""fixer"" lawyer Michael Cohen featured; Cohen's views on his family first & Trump tweet on Cohen quoted; details given about the investigation of Cohen for bank & wire fraud, including his payments to porn star Stormy Daniels.  [Jan. 2, 2017, COHEN&nbsp- promises to do anything for Trump.]  [April 9, TRUMP&nbsp-  says they broke into his attorney's office.]  Cohen's defense of treatment by the FBI & his opposition to the term witchhunt about special counsel former FBI director Robert Mueller quoted.  Cohen's personal desire to tell his story, why he has changed lawyers discussed. ","['Tom Llamas', 'George Stephanopoulos']"
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Bahamas / Tour Boat Explosion,1126893,05:39:50 pm — 05:41:10 pm,17:39:50,17:41:10,80,"(Studio: Tom Llamas)  Report introduced.  

(New York: Erielle Reshef)  The investigation into the explosion of a small tour boat in the Bahamas featured; scenes shown of black smoke; details given about the death of American Maleka Jackson, the loss of both legs for Stephanie Schaffer.  [Maleka's aunt Denissse SMITH- comments.] ","['Tom Llamas', 'Erielle Reshef']"
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Weather: Heat Wave,1126894,05:41:10 pm — 05:43:00 pm,17:41:10,17:43:00,110,"(Studio: Tom Llamas)  Report introduced.  

(New York: Gio Benitez)  The extreme heat wave reviewed; scenes shown from hot cities, a Chicago bridge being cooled down with water spray.  [Mount Sinai CMO Dr. Peter SHEARER- offers advice on heat symptoms.]  

(Studio: Tom Llamas; New York: Ginger Zee)  The heat advisories discussed; weather & temperature maps shown.   ","['Tom Llamas', 'Gio Benitez', 'Tom Llamas; New York']"
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Supreme Court / Trump Pick,1126895,05:43:00 pm — 05:44:50 pm,17:43:00,17:44:50,110,"(Studio: Tom Llamas)  Report introduced.  

(White House: Kyra Phillips)  The Supreme Court showdown for President Trump as he interviewed possible picks featured; details given about jis campaign promise to appoint justice{s} who would overturn Roe v. Wade.  [TRUMP&nbsp- says he interviewed four potential justices.]  [On Fox, TRUMP&nbsp- says he will not ask the conservatives about Roe.]  [White House press secretary Sarah Huckabee SANDERS&nbsp- explains what Trump is looking for in a justice.] ","['Tom Llamas', 'Kyra Phillips']"
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Mexico / Presidential Election ,1126896,05:44:50 pm — 05:45:20 pm,17:44:50,17:45:20,30,(Studio: Tom Llamas)  President Trump's talk with newly elected Mexican President Andres Lopez Obrador reported. ,['Tom Llamas']
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Upcoming Items & COMMERCIALS: Repatha; 1-800-quit-now; Prilosec; Friskies; Aleve.,1126897,05:45:20 pm — 05:47:50 pm,17:45:20,17:47:50,150,,[]
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,France / The Prison Escape,1126898,05:47:50 pm — 05:49:20 pm,17:47:50,17:49:20,90,"(Studio: Tom Llamas)  Report introduced.  

(Paris: Eva Pilgrim)  The manhunt following the daring escape from a French prison by convicted murderer Redoine Faid using a hijacked helicopter reviewed; scenes & virtual view of the escape shown; details given about his 2013 escape & basing his crimes on movies like ""Heat."" ","['Tom Llamas', 'Eva Pilgrim']"
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Upcoming Items & COMMERCIALS: Humira; Cosequin; Publishers Clearing House; Verizon; Heinz.,1126899,05:49:20 pm — 05:52:30 pm,17:49:20,17:52:30,190,,[]
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Index of Other News,1126900,05:52:30 pm — 05:53:40 pm,17:52:30,17:53:40,70,"(Studio: Tom Llamas)  A brief look at news stories with video often shown: an update of the stabbing spree by Timmy Kinner at a child's birthday party in Boise, Idaho; a terrorism plot by Demetrius Pitts to attack the Independence Day parade in Cleveland; the rescue of a cruise ship crewman at sea. ",['Tom Llamas']
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Upcoming Items & COMMERCIALS: Liberty Mutual; Lyrica; 1-800-quit-now; Centrum; ZzzQuil; Consumer Cellular; Alka-Seltzer; News 2.,1126901,05:53:40 pm — 05:57:10 pm,17:53:40,17:57:10,210,,[]
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Pro Basketball / LeBron in L.A.,1126902,05:57:10 pm — 05:58:50 pm,17:57:10,17:58:50,100,"(Studio: Tom Llamas)  Report introduced.  

(New York: Paula Faris)  The new contract with the Los Angeles Lakers for pro basketball player LeBron James featured; money & jobs statistics cited.   ","['Tom Llamas', 'Paula Faris']"
ABC Evening News for 2018-07-02,ABC,2018-07-02,29 minutes long,Good Night,1126903,05:58:50 pm — 05:58:50 pm,17:58:50,17:58:50,0,,[]
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,Introduction/Preview	 John Berman (New York),1126904,07:00:20 pm — 07:00:20 pm,19:00:20,19:00:20,0,,[]
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,Trump / Cohen's Story,1126905,07:00:20 pm — 07:12:00 pm,19:00:20,19:12:00,700,"(Studio: John Berman)  The hints from President Trump's ""fixer"" lawyer Michael Cohen about matters related to the president reviewed; details given about what Cohen told George Stephanopoulos in an ABC interview about the FBI raid & the money given to Stormy Daniels.  [April 9, TRUMP&nbsp- says the FBI broke into Cohen's office.]  

(Studio: John Berman; White House: Jeff Zeleny)  The question of White House concern about what Cohen is saying, why he did the interview off camera but on the record & how the president has said nothing about Cohen in a while discussed.  

(Studio: John Berman)  Live discussion held with CNN's John Dean & Carrie Cordero about Cohen & Trump.  [DEAN&nbsp- offers views on how Cohen floated this to his audience of one: Trump, but the interview is hearsay, the message he is sending to Trump.]  [CORDERO&nbsp- offers views on Cohen's approach to cooperating with the government, on what Cohen might know.]   ","['John Berman', 'John Berman; White House', 'John Berman']"
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,"Upcoming Items & COMMERCIALS: Taltz; Smile; LifeLock; Apple Music; IBM; Orkin, Coppertone.",1126906,07:12:00 pm — 07:16:10 pm,19:12:00,19:16:10,250,,[]
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,US-North Korea Relations / Nuclear Program / A Discussion,1126907,07:16:10 pm — 07:23:10 pm,19:16:10,19:23:10,420,"(Studio: John Berman)  A Keeping Them Honest look at a DIA  report that North Korea is still working on its nuclear program introduced.  [White House press secretary Sarah Huckabee SANDERS&nbsp- says we are still making progress with North Korea.]  

(Studio: John Berman)  Live discussion held with CNN's analyst Max Boot & retired Adm John Kirby about North Korea.  [BOOT&nbsp- offers views on North Korea's history of empty promises, yet President Trump pretends they are making progress, the surprise of North Korea continuing its nuclear capabilities when North Korean leader Kim Jong Un has mutual interests with Trump.]  [KIRBY&nbsp- offers views on how this is what they have done in the past, why defense details are being leaked, the need to build trust between the two countries.]   ","['John Berman', 'John Berman']"
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,"Upcoming Items & COMMERCIALS: Aleve; Publishers Clearing House; Honda; Western Union; United Explorers Card; ancestry.com; CNN ""The 2000s""; 4imprint.com; freedomdebtrelief; CNN ""The 2000s""",1126908,07:23:10 pm — 07:25:40 pm,19:23:10,19:25:40,150,,[]
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,Immigration / Trump Policy / Democrats in ICE,1126909,07:25:40 pm — 07:32:40 pm,19:25:40,19:32:40,420,"(Studio: John Berman)  The call from Democrats for the overhauling or dismantling of ICE introduced.  [In Boston, Senator Elizabeth WARREN&nbsp- says we need to rebuild our immigration system startiung with replacing ICE.]    

(Studio: John Berman)  Live discussion held with CNN's David Chalian & Ryan Lizza about immigration & ICE.  [CHALIAN&nbsp- offers views on Democratic politics behind this position & the resulting problems for the Democrats, the role of base politics.]  Trump White House tweets attacking the Democrats on immigration quoted.  [LIZZA&nbsp- offers views on the confusion among Democrats over this immigration issue stemming from President Trump executive order.]   ","['John Berman', 'John Berman']"
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,"Upcoming Items & COMMERCIALS: Humira; Alka-Seltzer; Mitsubishi; Wayfair; Experian; ""Cuomo Prime Time""; Eagle PAC; CNN ""The 2000s""",1126910,07:32:40 pm — 07:36:30 pm,19:32:40,19:36:30,230,,[]
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,Trump / Supreme Court / A Discussion,1126911,07:36:30 pm — 07:42:50 pm,19:36:30,19:42:50,380,"(Studio: John Berman)  Reports the four Supreme Court candidates interviewed by President Trump were Amy Coney Barrett. Brett Kavanaugh, Raymond Kethledge & Amul Thapar with photos shown.  Live discussion held with CNN's Charlie Debt & Joan Biskupic about the Supreme Court options,  [BISKUPIC&nbsp- offers views on the backgrounds of the candidates.]  DENT&nbsp- offers views on how the litmus test always comes down to abortion rights, the position of Senator Susan Collins, the significance of a women nominee.] ",['John Berman']
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,"Upcoming Items & COMMERCIALS: ""Cuomo Prime Time""; Entresto; Apple Music/Jeep; GoBoldly; Advil; CNN ""The 2000s""; BuyLeesa; CNN ""The 2000s""",1126912,07:42:50 pm — 07:48:10 pm,19:42:50,19:48:10,320,,[]
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,EPA / Pruitt / Two Calendars,1126913,07:48:10 pm — 07:53:00 pm,19:48:10,19:53:00,290,"(Studio: John Berman)  Report introduced.  

(Atlanta: Drew Griffin)  CNN exclusive report that a whistleblower report says that EPA administrator Scott Pruitt scrubbed the EPA calendar to hide meetings examined; details given about the two calendars, amy public & one secret, with examples of secret meetings with industry & other leaders cited.  [Former EPA official Scott CHMIELEWSKI- explains the multiple calendars system done by Pruitt's staff.]  [Former FEC official Larry NOBLE- explains this violates law.]  Pruitt's meeting at the Vatican with Cardinal George Pell, who was charged with sexual abuse soon after, noted.  [CHMIELEWSKI- says the Pell meeting was removed from the calendar; states what Pruitt is doing is wrong.]  The lack of response from Pruitt & his office discussed. ","['John Berman', 'Drew Griffin']"
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,Upcoming Items & COMMERCIALS: Volvo; ChoiceHotels; LifeLock; Aleve; Progressive; Facebook; tripadvisor; Dr. Scholl's.,1126914,07:53:00 pm — 07:57:00 pm,19:53:00,19:57:00,240,,[]
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,Thailand / Cave Rescue Operation / Mirza Interview,1126915,07:57:00 pm — 08:00:30 pm,19:57:00,20:00:30,210,"(Studio: John Berman)  The ongoing rescue in Thailand of a youth soccer team after 10 days trapped in a cave by flash flooding featured; scenes shown from the cave.  [US National Cave Rescue Commission Anmar MIRZA- explains the rescue operations, the problems of providing food & medical care, the dangers of cave diving.] ",['John Berman']
CNN Evening News for 2018-07-02,CNN,2018-07-02,about 1 hour long,Good Night,1126916,08:00:30 pm — 08:00:30 pm,20:00:30,20:00:30,0,,[]
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Preview/Introduction	Tom Llamas (New York),1126964,05:30:00 pm — 05:31:20 pm,17:30:00,17:31:20,80,,[]
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,West / Wildfires,1126965,05:31:20 pm — 05:35:50 pm,17:31:20,17:35:50,270,"(Studio: Tom Llamas)  Report introduced.  

(Huerfano County, Colorado: Clayton Sandell)  The wildfires in the West due to heat & dry winds with extreme heat in the East featured; scenes shown from Colorado, a stranded train in Philadelphia, a New Jersey nursing home.  [Colorado WOMAN, Philadelphia WOMAN&nbsp- comment on the conditions.]    

(Studio: Tom Llamas; Ft. Lee, New Jersey: Ginger zee)  The heat conditions discussed; weather & temperature maps shown. ","['Tom Llamas', 'Clayton Sandell', 'Tom Llamas; Ft. Lee, New Jersey']"
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Thailand / Cave Rescue Operation,1126966,05:35:50 pm — 05:36:50 pm,17:35:50,17:36:50,60,"(Studio: Tom Llamas)  Report introduced.  

(Chiang Rai, Thailand: James Longman)  The rescue efforts in Thailand of a youth soccer team after 10 days trapped in a cave by flash flooding featured; scenes shown from the darkness, the rescuers outside, a virtual view of the cave complex; details given about the risks of the two rescue options.  [Diver Ben REYMENANTS- talks about getting them out safely.]  The setting up of a phone system for the boys discussed. ","['Tom Llamas', 'James Longman']"
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,"Kansas City, Missouri / Shooting Spree",1126967,05:36:50 pm — 05:38:30 pm,17:36:50,17:38:30,100,"(Studio: Tom Llamas)  Report introduced.  

(Chicago: Alex Perez)  Breaking news on a shooting spree outside Kansas City after a construction crew argument featured; scenes shown of the site with police audio played as the suspect was eventually taken down.  [Overland police John LACY, Chief Frank DONCHEZ- comment on the shooting.]   ","['Tom Llamas', 'Alex Perez']"
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Supreme Court / Trump Pick,1126968,05:38:30 pm — 05:41:10 pm,17:38:30,17:41:10,160,"(Studio: Tom Llamas)  Report introduced.  

(Washington: Kyra Phillips)  The short list for President Trump's Supreme Court nominees examined; photos shown of Brett Kavanaugh, Amy Coney Barrett, Joan Larsen; details given about the Roe v. Wade issue.  [July 2, TRUMP&nbsp- speaks about the candidates.]  [Sept. 6, 2017, Senator Dianne FEINSTEIN- questions Barrett.]  The Trump administration;s reversal of former President Obama's policy on affirmative action for colleges discussed. ","['Tom Llamas', 'Kyra Phillips']"
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Russian Connection / Senate Committee,1126969,05:41:10 pm — 05:41:40 pm,17:41:10,17:41:40,30,(Studio: Tom Llamas)  The Senate Intelligence Committee's report confirming Russian meddling in the 2016 election with approval of Russian President Vladimir Putin reported. ,['Tom Llamas']
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Indonesia / Ferry Sinking,1126970,05:41:40 pm — 05:42:00 pm,17:41:40,17:42:00,20,(Studio: Tom Llamas)  The sinking of a ferryboat off Indonesia reported; scenes shown. ,['Tom Llamas']
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Your Money (Gas Crime),1126971,05:42:00 pm — 05:43:00 pm,17:42:00,17:43:00,60,"(Studio: Tom Llamas)  Report introduced.  

(Washington: Pierre Thomas)  A Secret Service report on gas pump scams examined; scenes shown of how skimmers work of get credit card information to produce counterfeit credit cards; details given about the crackdown on skimmer.  [Secret Service agent Matt O'NEILL- explains the skimmer scam.] ","['Tom Llamas', 'Pierre Thomas']"
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Maryland / Newspaper Shooting,1126972,05:43:00 pm — 05:43:50 pm,17:43:00,17:43:50,50,"(Studio: Tom Llamas)  The White House decision to fly the flags at half-staff to honor the victims of the Annapolis, Maryland newspaper shooting reported, ",['Tom Llamas']
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Upcoming Items & COMMERCIALS: Neulasta; Facebook; Prevagen; Aleve.,1126973,05:43:50 pm — 05:46:20 pm,17:43:50,17:46:20,150,,[]
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Bahamas / Tour Boat Explosion,1126974,05:46:20 pm — 05:48:00 pm,17:46:20,17:48:00,100,"(Studio: Tom Llamas)  Report introduced.  

(New York: Erielle Reshef)  The firsthand stories from survivors of the tour boat explosion in the Bahamas featured; scenes & photos shown.  [Jim, Hayden & Sheila INMAN&nbsp- describe what happened.]  [Victim Maleka Jackson's MOTHER&nbsp- comments on her grandson.] ","['Tom Llamas', 'Erielle Reshef']"
ABC Evening News for 2018-07-03,ABC,2018-07-03,28 minutes long,Upcoming Items & COMMERCIALS: Humira; 1-800-quit-now; Head & Shoulders; Verzenio.,1126975,05:48:00 pm — 05:51:10 pm,17:48:00,17:51:10,190,,[]
